ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins
511,Souza,D,TOT,4,0.3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
319,Szmodics,M,IPS,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
579,Araujo,D,LIV,5.5,1.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
285,McNair,D,HUL,4,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
375,Nyoni,M,LIV,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
107,Furo,F,BRE,4.5,0.8,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
157,Estêvão,M,CHE,6.5,1.5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
196,Markelo,F,COV,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
177,Kesler-Hayden,D,COV,4,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
48,Onana,M,AVL,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
508,Davies,D,TOT,4,0.9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
568,Barco,M,CHE,5.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
314,Ogbene,M,IPS,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
235,Aznou,D,EVE,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
83,Valdimarsson,G,BRE,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
297,Gyabi,M,HUL,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
561,Anselmino,D,CHE,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
407,Echeverri,M,MCI,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
3,Meslier,G,ARS,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
59,Dennis,G,BOU,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
403,Savinho,M,MCI,6.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
274,Butland,G,HUL,4.5,0.4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
476,O.Richards,D,NFO,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
585,Herrington,D,HUL,4,0.3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
179,Latibeaudiere,D,COV,4,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
495,Austin,G,TOT,4,0.7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
228,King,G,EVE,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
573,Sanchez,D,BOU,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
103,Dasilva,M,BRE,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
276,Lo-Tutala,G,HUL,4,0.2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
381,Koumas,M,LIV,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
555,Matthews,G,CRY,4,1.7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
91,Pinnock,D,BRE,4.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
141,Jörgensen,G,CHE,5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
85,Van den Berg,D,BRE,5,0.5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
570,Palacios,M,FUL,5.5,0.1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
438,Fletcher,M,MUN,4.5,0.3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
78,Kroupi.Jr,M,BOU,7.5,1.9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
300,Walton,G,IPS,4.5,0.6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
